id,name,unit,qty,min,par,cost,supplier,updated
0dyf4rgevzpdv6owcpry,Pulpa de membrillo o manzana congelada,g,500,0,0,0,,2026-09-19T18:28:28.749Z
2sdzuzraptma3s793ru7,Ciruelas pasas sin hueso,g,150,0,123,0,,2026-09-19T18:51:13.944Z
6ber5ijcybkvl6kszaxh,Panela,g,500,0,0,0,,2026-09-19T18:27:56.490Z
6debtzp341e3dv976xd7,Pulpa de chirimoya congelada,g,500,0,0,0,,2026-09-19T18:28:09.491Z
7bvoam31569yye3bi69d,"Quinua, lavada",g,5000,0,0,0,,2026-09-19T18:28:53.036Z
7u1iyt1z83tgvzg9dyna,Azúcar,g,3004,0,5000,0,,2026-09-19T18:50:35.945Z
brk5wkbi6pnxk1i76g7s,Canela en polvo,g,300,0,150,0,,2026-09-19T18:51:04.738Z
css16zkypec8dw047ajt,Leche fría,ml,0,0,0,0,,2026-09-19T18:21:34.335Z
e6ixscrwqcmq4s0yhz6a,Pulpa de piña congelada,g,500,0,0,0,,2026-09-19T18:28:41.224Z
f1hqtuftwwjtf1kysc78,Pulpa de plátano congelada,g,500,0,0,0,,2026-09-19T18:28:46.787Z
glbo0m2qtz2amwttvwlj,Maíz morado,g,1000,0,0,0,,2026-09-19T18:27:22.034Z
hanq9ovso16j7c3mcm1j,Miel o azúcar,g,2000,0,0,0,,2026-09-19T18:27:48.365Z
ja81azbtgt2xquj6wpue,Pulpa de limón congelada,g,500,0,0,0,,2026-09-19T18:28:14.557Z
l17zfucm1cl19ywopm7a,Azúcar o panela,g,250,0,3000,0,,2026-09-19T18:50:45.880Z
lytzrmpv64tmwek53xiu,Pulpa de lúcuma congelada,g,500,0,0,0,,2026-09-19T18:28:19.712Z
mxg5tvl6ov94z6eyn8nz,Orejones,g,4,0,0,0,,2026-09-19T18:27:51.080Z
p2ny0iofcpua9kz0uwrg,Maca en polvo,g,500,0,0,0,,2026-09-19T18:27:11.932Z
pd3jfv3flxtyvmxk067s,Leche,ml,2000,0,5000,0,,2026-09-19T18:52:10.488Z
rwtvspfwimiypvrdainu,Harina de camote o maicena,g,2000,0,5000,0,,2026-09-19T18:51:42.593Z
s02f10l10342sf09g208,Miel o agave,g,2000,0,0,0,,2026-09-19T18:27:33.795Z
t8lzx2j8s41r58iiqyq3,Pulpa de manzana congelada,g,500,0,0,0,,2026-09-19T18:28:24.507Z
tdzv1q14rgh12uhh3hep,Pulpa / concentrado congelado de chicha morada,g,500,0,0,0,,2026-09-19T18:28:03.213Z
uhvmdrc0io07dd88vscl,Clavos de olor,pc,100,0,500,1.25,,2026-09-19T18:51:23.260Z
vyp2s53386p53tih4a1v,Ramas de canela,pc,150,0,0,0,,2026-09-19T18:29:09.111Z
whntbtswlx0170n1o0k4,Hojas de menta,pc,4,0,120,0,,2026-09-19T18:51:50.331Z
